ID;Skole;Hovedkarakter;MF_SML
329;Luftkrigsskolen;16,57039;10
239;Luftkrigsskolen;16,42495; 9
 79;Luftkrigsskolen;16,41917; 8
 94;Luftkrigsskolen;16,12712; 8
168;Luftkrigsskolen;16,10900; 8
178;Luftkrigsskolen;16,10331; 7
 49;Luftkrigsskolen;16,08892; 8
113;Luftkrigsskolen;16,08132; 9
331;Luftkrigsskolen;16,07262; 8
255;Luftkrigsskolen;16,04539; 8
186;Luftkrigsskolen;15,89488; 8
342;Luftkrigsskolen;15,88806; 8
282;Luftkrigsskolen;15,88608; 7
283;Luftkrigsskolen;15,75078; 8
 69;Luftkrigsskolen;15,74315; 8
162;Luftkrigsskolen;15,71668; 8
118;Luftkrigsskolen;15,63131; 8
138;Luftkrigsskolen;15,52994; 8
341;Luftkrigsskolen;15,52710; 9
372;Luftkrigsskolen;15,51651; 8
294;Luftkrigsskolen;15,51545; 9
 41;Luftkrigsskolen;15,49788; 6
142;Luftkrigsskolen;15,41275; 7
 46;Luftkrigsskolen;15,35172; 8
117;Luftkrigsskolen;15,33049; 7
226;Luftkrigsskolen;15,31432; 9
199;Luftkrigsskolen;15,27000; 8
280;Luftkrigsskolen;15,26697; 8
389;Luftkrigsskolen;15,24730; 8
 31;Luftkrigsskolen;15,22857; 7
173;Luftkrigsskolen;15,22228; 9
367;Luftkrigsskolen;15,18904; 8
126;Luftkrigsskolen;15,17359; 6
297;Luftkrigsskolen;15,15485; 7
314;Luftkrigsskolen;15,11056; 9
352;Luftkrigsskolen;15,10209; 8
217;Luftkrigsskolen;15,07384; 7
102;Luftkrigsskolen;15,01810;12
315;Luftkrigsskolen;14,99826; 9
268;Luftkrigsskolen;14,96908; 8
 18;Luftkrigsskolen;14,95871; 8
214;Luftkrigsskolen;14,89499; 6
187;Luftkrigsskolen;14,84496; 8
326;Luftkrigsskolen;14,82379; 8
 88;Luftkrigsskolen;14,81568; 7
188;Luftkrigsskolen;14,81462; 8
279;Luftkrigsskolen;14,75954; 9
333;Luftkrigsskolen;14,74709; 8
 45;Luftkrigsskolen;14,65980; 8
272;Luftkrigsskolen;14,56206; 7
250;Luftkrigsskolen;14,46156; 8
336;Luftkrigsskolen;14,45958; 7
146;Luftkrigsskolen;14,39350; 8
287;Luftkrigsskolen;14,38399; 9
278;Luftkrigsskolen;14,37140; 7
264;Luftkrigsskolen;14,30252; 9
375;Luftkrigsskolen;14,27287; 7
363;Luftkrigsskolen;14,26385; 9
208;Luftkrigsskolen;14,24787; 9
267;Luftkrigsskolen;14,22556; 8
141;Luftkrigsskolen;14,16265; 6
285;Luftkrigsskolen;14,12253; 6
148;Luftkrigsskolen;14,11983; 8
243;Luftkrigsskolen;13,95211; 7
133;Luftkrigsskolen;13,95206; 8
129;Luftkrigsskolen;13,93964; 6
107;Luftkrigsskolen;13,85045; 8
353;Luftkrigsskolen;13,80082; 8
281;Luftkrigsskolen;13,77227;10
291;Luftkrigsskolen;13,77031;10
225;Luftkrigsskolen;13,67810; 8
293;Luftkrigsskolen;13,61292; 8
  3;Luftkrigsskolen;13,58229; 7
 87;Luftkrigsskolen;13,55660;11
258;Luftkrigsskolen;13,50602; 8
324;Luftkrigsskolen;13,45782; 7
360;Luftkrigsskolen;13,40986; 9
289;Luftkrigsskolen;13,39183; 8
153;Luftkrigsskolen;13,37195; 6
249;Luftkrigsskolen;13,30655; 8
 38;Luftkrigsskolen;13,06519; 7
303;Luftkrigsskolen;13,03441; 8
160;Luftkrigsskolen;12,96894; 7
220;Luftkrigsskolen;12,94435; 9
172;Luftkrigsskolen;12,84560; 6
379;Luftkrigsskolen;12,82949; 8
248;Luftkrigsskolen;12,74108; 9
232;Luftkrigsskolen;12,50486; 9
244;Luftkrigsskolen;12,41833; 7
170;Luftkrigsskolen;12,40093; 8
 70;Luftkrigsskolen;11,42420; 7
